Date,META,TSLA,UNH,AAPL,MSFT,V,MA,JPM,AMZN,PG,NVDA,GOOGL
2023-02-28,173.8681640625,205.7100067138672,453.58648681640625,145.44093322753906,244.6630859375,215.4458770751953,349.6652526855469,134.11924743652344,94.2300033569336,128.3265838623047,23.19407081604004,89.44310760498047
2023-03-01,172.3574676513672,202.77000427246094,452.9002990722656,143.36898803710938,241.57315063476562,213.8981475830078,347.90362548828125,133.37074279785156,92.16999816894531,128.41986083984375,22.676563262939453,89.74105072021484
2023-03-02,173.4606475830078,190.89999389648438,455.2637939453125,143.9609375,246.3208465576172,214.58384704589844,349.9407958984375,131.986083984375,92.12999725341797,130.53749084472656,23.291980743408203,91.36981201171875
2023-03-03,184.11497497558594,197.7899932861328,456.0833740234375,149.01255798339844,250.42111206054688,219.19761657714844,355.77691650390625,134.4092559814453,94.9000015258789,131.48904418945312,23.8674373626709,93.00850677490234
2023-03-06,183.76712036132812,193.80999755859375,458.1990966796875,151.775146484375,251.9709930419922,222.11671447753906,361.1208801269531,133.62339782714844,93.75,130.9293212890625,23.531753540039062,94.4783706665039
2023-03-07,183.3795166015625,187.7100067138672,451.62322998046875,149.57493591308594,249.3028564453125,218.60984802246094,354.2415771484375,129.69383239746094,93.55000305175781,128.3265838623047,23.269960403442383,93.21707153320312
2023-03-08,183.83668518066406,182.0,448.49725341796875,150.82798767089844,248.86141967773438,217.64988708496094,353.34600830078125,128.9266357421875,93.91999816894531,128.34524536132812,24.162263870239258,93.60440063476562
2023-03-09,180.57679748535156,172.9199981689453,443.0745544433594,148.5784149169922,247.5077667236328,215.5144500732422,348.8286437988281,121.94699096679688,92.25,127.40304565429688,23.417842864990234,91.68761444091797
2023-03-10,178.41015625,173.44000244140625,440.2721862792969,146.51632690429688,243.84890747070312,211.72352600097656,341.61468505859375,125.04385375976562,90.7300033569336,127.98140716552734,22.947206497192383,90.00919342041016
2023-03-13,179.79164123535156,174.47999572753906,443.4761962890625,148.46005249023438,249.07723999023438,210.087646484375,339.252685546875,122.79839324951172,92.43000030517578,128.86764526367188,22.948204040527344,90.48590850830078
